"ID","State","Industry","Year","Employment Rate (%)","Average Wage ($)","Unemployment Rate (%)","Job Openings"
1,"Pennsylvania","Technology",2018,98.3,98695,1.7,8746
2,"Pennsylvania","Technology",2019,97.6,102647,2.4,9463
3,"Pennsylvania","Technology",2020,70.7,106206,29.3,5867
4,"Pennsylvania","Technology",2021,73.8,123017,26.2,8131
5,"Pennsylvania","Technology",2022,87.3,156135,12.7,12235
6,"Pennsylvania","Technology",2023,99.1,174500,0.9,12841
7,"Pennsylvania","Healthcare",2018,99.9,82394,0.1,14252
8,"Pennsylvania","Healthcare",2019,99.9,87072,0.1,14079
9,"Pennsylvania","Healthcare",2020,77.1,84477,22.9,8771
10,"Pennsylvania","Healthcare",2021,87.3,97449,12.7,12724
11,"Pennsylvania","Healthcare",2022,99.9,120481,0.1,18804
12,"Pennsylvania","Healthcare",2023,99.9,138958,0.1,20073
13,"Pennsylvania","Retail",2018,91.8,41782,8.2,10416
14,"Pennsylvania","Retail",2019,92.5,43534,7.5,10393
15,"Pennsylvania","Retail",2020,60,44015,40,6137
16,"Pennsylvania","Retail",2021,60,47222,40,9211
17,"Pennsylvania","Retail",2022,73.6,54776,26.4,12950
18,"Pennsylvania","Retail",2023,86.3,65028,13.7,13906
19,"Pennsylvania","Manufacturing",2018,99.9,66180,0.1,6884
20,"Pennsylvania","Manufacturing",2019,99.9,69251,0.1,7199
21,"Pennsylvania","Manufacturing",2020,60,73184,40,4503
22,"Pennsylvania","Manufacturing",2021,73.2,78579,26.8,5851
23,"Pennsylvania","Manufacturing",2022,87.4,91561,12.6,8972
24,"Pennsylvania","Manufacturing",2023,98.5,105328,1.5,9429
25,"Pennsylvania","Education",2018,99.9,58801,0.1,8546
26,"Pennsylvania","Education",2019,99.9,59599,0.1,9249
27,"Pennsylvania","Education",2020,65.4,60575,34.6,5373
28,"Pennsylvania","Education",2021,74.1,68588,25.9,8003
29,"Pennsylvania","Education",2022,90.8,79053,9.2,11020
30,"Pennsylvania","Education",2023,99.9,88669,0.1,12675
31,"Pennsylvania","Finance",2018,97.5,92820,2.5,6903
32,"Pennsylvania","Finance",2019,98.2,93191,1.8,7616
33,"Pennsylvania","Finance",2020,63.9,95114,36.1,4349
34,"Pennsylvania","Finance",2021,73.7,114656,26.3,6383
35,"Pennsylvania","Finance",2022,85.7,136610,14.3,9302
36,"Pennsylvania","Finance",2023,98.4,164350,1.6,9625
37,"Pennsylvania","Construction",2018,92,59725,8,8365
38,"Pennsylvania","Construction",2019,91.2,60882,8.8,8169
39,"Pennsylvania","Construction",2020,60,63293,40,4870
40,"Pennsylvania","Construction",2021,60,72026,40,6801
